category,model,base_model,type,application,speed,needle,image_file,description
Apparel,DDL-9000C,DDL-9000C,Lockstitch Sewing Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),DDL-9000C.png,"Type: Lockstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LH-4500C,LH-4500C,Lockstitch Sewing Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),LH-4500C.png,"Type: Lockstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LZ-2290C,LZ-2290C,Lockstitch Sewing Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),LZ-2290C.png,"Type: Lockstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1900C,LK-1900C,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LK-1900C.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LBH-1790AN,LBH-1790A,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),LBH-1790A.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MS-1261A/DWS,MS-1261A,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MS-1261A.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1903C,LK-1903C,Lockstitch Sewing Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),LK-1903C.png,"Type: Lockstitch Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MEB-3200C,MEB-3200C,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),MEB-3200C.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,AMS-221F,AMS-221F,Computer-controlled Cycle Pattern Sewing Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),AMS-221F.png,"Type: Computer-controlled Cycle Pattern Sewing Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,LK-1903S,LK-1903S,1-needle Lockstitch Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),LK-1903S.png,"Type: 1-needle Lockstitch Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DDL-8000C,DDL-8000C,1-needle Lockstitch Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),DDL-8000C.png,"Type: 1-needle Lockstitch Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MB-1800A/BR10,MB-1800A,1-needle Lockstitch Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),MB-1800A.png,"Type: 1-needle Lockstitch Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DDL-8000A,DDL-8000A,1-needle Lockstitch Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),DDL-8000A.png,"Type: 1-needle Lockstitch Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,MB-1377,MB-1377,1-needle Lockstitch Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),MB-1377.png,"Type: 1-needle Lockstitch Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DDL-7000A,DDL-7000A,1-needle Lockstitch Machine,Light- to Medium-weight,"5,000 sti/min",DBx1 (#11),DDL-7000A.png,"Type: 1-needle Lockstitch Machine • Application: Light- to Medium-weight • Max. sewing speed: 5,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DDL-8700-7,DDL-8700,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DDL-8700.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
Apparel,DDL-5600N-7,DDL-5600N,Button Sewing & Bartacking Machine,Light- to Medium-weight,"3,000 sti/min",DBx1 (#11),DDL-5600N.png,"Type: Button Sewing & Bartacking Machine • Application: Light- to Medium-weight • Max. sewing speed: 3,000 sti/min • Max. stitch length: 4mm • Presser foot: By knee: 13mm • Needle: DBx1 (#11)"
